Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
dc_oversub_10to1,TcpSwift,635.79,0.4495,0.0047,0.02
intra_rack_10g,TcpBbr,5988.66,0.0485,0.0002,0.03
intra_rack_10g,TcpCubic,6063.06,0.0541,0.0006,0.03
intra_rack_10g,TcpNewReno,5767.76,0.0476,0.0003,0.02
intra_rack_10g,TcpSwift,6295.24,0.0477,0.0003,0.03
intra_rack_25g,TcpBbr,14268.42,0.0197,0.0001,0.03
intra_rack_25g,TcpCubic,14888.35,0.0232,0.0003,0.03
intra_rack_25g,TcpNewReno,14181.82,0.0203,0.0002,0.02
intra_rack_25g,TcpSwift,15765.91,0.0200,0.0002,0.03
leaf_spine_20g,TcpBbr,11754.85,0.0296,0.0004,0.03
leaf_spine_20g,TcpCubic,12236.36,0.0338,0.0003,0.04
leaf_spine_20g,TcpNewReno,11781.96,0.0314,0.0001,0.03
leaf_spine_20g,TcpSwift,12721.89,0.0303,0.0003,0.03
leaf_spine_50g,TcpBbr,29522.80,0.0179,0.0001,0.04
leaf_spine_50g,TcpCubic,29175.54,0.0180,0.0001,0.03
leaf_spine_50g,TcpNewReno,27865.78,0.0176,0.0001,0.02
leaf_spine_50g,TcpSwift,30188.30,0.0182,0.0001,0.02
lte_good,TcpBbr,27.46,37.5074,0.1728,0.02
lte_good,TcpCubic,28.50,39.3223,0.4036,0.02
lte_good,TcpNewReno,27.61,38.9928,0.3305,0.03
lte_good,TcpSwift,29.23,38.5491,0.3022,0.02
lte_poor,TcpBbr,5.77,122.3284,1.8290,0.03
lte_poor,TcpCubic,5.74,123.0465,0.4117,0.03
lte_poor,TcpNewReno,5.36,111.6340,0.8977,0.03
lte_poor,TcpSwift,5.96,117.5902,0.8105,0.03
mixed_large_flow,TcpBbr,7565.08,0.0502,0.0002,0.03
mixed_large_flow,TcpCubic,7471.45,0.0506,0.0003,0.03
mixed_large_flow,TcpNewReno,7345.82,0.0488,0.0003,0.03
mixed_large_flow,TcpSwift,7759.63,0.0495,0.0003,0.03
mixed_small_flow,TcpBbr,1173.13,0.2374,0.0018,0.03
mixed_small_flow,TcpCubic,1196.38,0.2590,0.0015,0.03
mixed_small_flow,TcpNewReno,1157.17,0.2397,0.0012,0.03
mixed_small_flow,TcpSwift,1222.80,0.2364,0.0015,0.03
nr_5g_edge,TcpBbr,55.99,18.1759,0.1172,0.03
nr_5g_edge,TcpCubic,58.57,19.3725,0.1958,0.04
nr_5g_edge,TcpNewReno,55.91,19.5612,0.1802,0.02
nr_5g_edge,TcpSwift,60.77,19.6104,0.1668,0.03
nr_5g_embb,TcpBbr,270.80,7.5046,0.0802,0.02
nr_5g_embb,TcpCubic,281.11,7.7320,0.0368,0.03
nr_5g_embb,TcpNewReno,272.13,8.1051,0.0299,0.02
nr_5g_embb,TcpSwift,295.96,7.4799,0.0346,0.02
oversub_2to1_25g,TcpBbr,7519.97,0.0479,0.0004,0.02
oversub_2to1_25g,TcpCubic,7520.45,0.0486,0.0006,0.02
oversub_2to1_25g,TcpNewReno,7448.64,0.0474,0.0004,0.03
oversub_2to1_25g,TcpSwift,7784.05,0.0477,0.0004,0.02
oversub_2to1_50g,TcpBbr,14940.57,0.0276,0.0001,0.03
oversub_2to1_50g,TcpCubic,14593.33,0.0258,0.0001,0.03
oversub_2to1_50g,TcpNewReno,14535.62,0.0269,0.0003,0.03
oversub_2to1_50g,TcpSwift,15503.10,0.0273,0.0001,0.03
oversub_4to1_10g,TcpBbr,1466.63,0.1971,0.0025,0.03
oversub_4to1_10g,TcpCubic,1483.35,0.2048,0.0021,0.03
oversub_4to1_10g,TcpNewReno,1468.02,0.2085,0.0015,0.03
oversub_4to1_10g,TcpSwift,1541.80,0.2021,0.0020,0.03
oversub_4to1_40g,TcpBbr,5758.42,0.0482,0.0003,0.03
oversub_4to1_40g,TcpCubic,5785.54,0.0488,0.0005,0.02
oversub_4to1_40g,TcpNewReno,5668.83,0.0502,0.0004,0.02
oversub_4to1_40g,TcpSwift,6024.37,0.0469,0.0004,0.02
rdma_like_25g,TcpBbr,14894.25,0.0193,0.0001,0.03
rdma_like_25g,TcpCubic,15244.30,0.0211,0.0003,0.03
rdma_like_25g,TcpNewReno,14350.48,0.0186,0.0002,0.03
rdma_like_25g,TcpSwift,15611.67,0.0187,0.0002,0.03
rdma_like_50g,TcpBbr,28768.73,0.0106,0.0001,0.02
rdma_like_50g,TcpCubic,29664.83,0.0115,0.0001,0.03
rdma_like_50g,TcpNewReno,29279.52,0.0119,0.0001,0.04
rdma_like_50g,TcpSwift,31174.73,0.0116,0.0001,0.04
satellite_geo,TcpBbr,5.47,363.1521,4.1668,0.03
satellite_geo,TcpCubic,5.40,354.5227,5.2970,0.03
satellite_geo,TcpNewReno,5.13,381.7430,2.4107,0.03
satellite_geo,TcpSwift,5.65,361.4639,3.8830,0.03
satellite_leo,TcpBbr,86.82,32.1254,0.1801,0.03
satellite_leo,TcpCubic,88.86,32.9294,0.3423,0.04
satellite_leo,TcpNewReno,85.46,32.5294,0.2439,0.03
satellite_leo,TcpSwift,93.58,32.1685,0.2520,0.03
symmetric_low,TcpBbr,602.92,0.5157,0.0024,0.03
symmetric_low,TcpCubic,583.33,0.4691,0.0021,0.03
symmetric_low,TcpNewReno,592.55,0.4878,0.0025,0.03
symmetric_low,TcpSwift,627.18,0.4687,0.0023,0.03
wan_longhaul,TcpBbr,549.69,26.2279,0.3104,0.03
wan_longhaul,TcpCubic,563.10,26.2204,0.2571,0.03
wan_longhaul,TcpNewReno,527.01,27.4719,0.0700,0.02
wan_longhaul,TcpSwift,576.45,26.1729,0.2414,0.02
wan_metro,TcpBbr,575.69,2.6931,0.0256,0.03
wan_metro,TcpCubic,574.74,2.6247,0.0170,0.03
wan_metro,TcpNewReno,570.59,2.7472,0.0307,0.03
wan_metro,TcpSwift,591.17,2.6091,0.0247,0.03
wifi_ac,TcpBbr,223.46,7.7847,0.0755,0.02
wifi_ac,TcpCubic,231.78,8.2744,0.0930,0.03
wifi_ac,TcpNewReno,228.74,8.5487,0.0222,0.02
wifi_ac,TcpSwift,243.85,8.0394,0.0761,0.02
wifi_ax,TcpBbr,350.75,5.6349,0.0400,0.02
wifi_ax,TcpCubic,364.29,5.9882,0.0284,0.04
wifi_ax,TcpNewReno,349.78,5.9319,0.0832,0.03
wifi_ax,TcpSwift,374.14,5.9055,0.0417,0.03
wifi_legacy,TcpBbr,5.37,74.6553,0.9496,0.03
wifi_legacy,TcpCubic,5.41,75.5891,0.4176,0.03
wifi_legacy,TcpNewReno,5.22,73.6775,0.4465,0.03
wifi_legacy,TcpSwift,5.70,73.3687,0.4378,0.03
wifi_n,TcpBbr,29.16,22.5031,0.1784,0.02
wifi_n,TcpCubic,29.09,23.9405,0.2922,0.02
wifi_n,TcpNewReno,27.51,22.7683,0.1349,0.03
wifi_n,TcpSwift,30.15,23.1328,0.1635,0.03
