Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
dc_100m,TcpCubic,82.18,4.0837,0.0293,0.01
dc_100m,TcpNewReno,80.07,3.7952,0.0357,0.01
dc_100m,TcpSwift,86.70,3.9000,0.0354,0.01
dc_500m,TcpBbr,435.00,0.8815,0.0039,0.01
dc_500m,TcpCubic,428.79,0.8516,0.0024,0.01
dc_500m,TcpNewReno,430.53,0.9003,0.0060,0.02
dc_500m,TcpSwift,460.17,0.8489,0.0036,0.02
dc_oversub_10to1,TcpBbr,860.07,0.4583,0.0041,0.02
dc_oversub_10to1,TcpCubic,846.50,0.4466,0.0022,0.02
dc_oversub_10to1,TcpNewReno,835.73,0.4504,0.0022,0.01
dc_oversub_10to1,TcpSwift,895.55,0.4541,0.0022,0.01
intra_rack_10g,TcpBbr,8762.93,0.0513,0.0005,0.02
intra_rack_10g,TcpCubic,8865.00,0.0524,0.0004,0.02
intra_rack_10g,TcpNewReno,8687.35,0.0515,0.0005,0.02
intra_rack_10g,TcpSwift,9302.57,0.0502,0.0005,0.02
intra_rack_25g,TcpBbr,21161.42,0.0206,0.0001,0.02
intra_rack_25g,TcpCubic,21236.82,0.0207,0.0001,0.01
intra_rack_25g,TcpNewReno,20483.78,0.0190,0.0001,0.01
intra_rack_25g,TcpSwift,22425.37,0.0199,0.0001,0.01
leaf_spine_20g,TcpBbr,16805.30,0.0281,0.0002,0.01
leaf_spine_20g,TcpCubic,17545.72,0.0331,0.0001,0.02
leaf_spine_20g,TcpNewReno,16279.40,0.0279,0.0001,0.01
leaf_spine_20g,TcpSwift,18016.65,0.0274,0.0001,0.01
leaf_spine_50g,TcpBbr,41699.62,0.0163,0.0001,0.01
leaf_spine_50g,TcpCubic,41621.44,0.0168,0.0001,0.01
leaf_spine_50g,TcpNewReno,41189.33,0.0166,0.0002,0.01
leaf_spine_50g,TcpSwift,43160.55,0.0165,0.0001,0.01
lte_good,TcpBbr,41.14,37.4833,0.3281,0.02
lte_good,TcpCubic,41.12,39.1253,0.4388,0.01
lte_good,TcpNewReno,39.96,39.5563,0.4031,0.01
lte_good,TcpSwift,42.26,37.6320,0.4184,0.01
lte_poor,TcpBbr,8.18,118.1664,1.0475,0.02
lte_poor,TcpCubic,8.05,115.4021,0.5818,0.02
lte_poor,TcpNewReno,7.92,116.4265,0.4498,0.02
lte_poor,TcpSwift,8.50,114.4919,0.5952,0.02
mixed_large_flow,TcpBbr,10790.78,0.0505,0.0006,0.01
mixed_large_flow,TcpCubic,11052.03,0.0518,0.0004,0.02
mixed_large_flow,TcpNewReno,10780.33,0.0526,0.0005,0.02
mixed_large_flow,TcpSwift,11501.73,0.0527,0.0005,0.02
mixed_small_flow,TcpBbr,1699.84,0.2301,0.0025,0.02
mixed_small_flow,TcpCubic,1756.71,0.2494,0.0018,0.02
mixed_small_flow,TcpNewReno,1698.33,0.2339,0.0017,0.02
mixed_small_flow,TcpSwift,1851.86,0.2313,0.0017,0.02
nr_5g_edge,TcpBbr,83.07,18.2525,0.0933,0.02
nr_5g_edge,TcpCubic,82.46,19.0235,0.1510,0.02
nr_5g_edge,TcpNewReno,82.89,19.2767,0.1657,0.02
nr_5g_edge,TcpSwift,87.80,19.3383,0.1563,0.02
nr_5g_embb,TcpBbr,402.19,7.7523,0.0975,0.01
nr_5g_embb,TcpCubic,408.63,7.9536,0.0261,0.02
nr_5g_embb,TcpNewReno,399.01,8.2075,0.0415,0.01
nr_5g_embb,TcpSwift,429.51,8.0926,0.0381,0.01
oversub_2to1_25g,TcpBbr,10949.50,0.0461,0.0004,0.02
oversub_2to1_25g,TcpCubic,10991.76,0.0480,0.0004,0.02
oversub_2to1_25g,TcpNewReno,10663.40,0.0458,0.0006,0.01
oversub_2to1_25g,TcpSwift,11427.66,0.0458,0.0003,0.02
oversub_2to1_50g,TcpBbr,20976.96,0.0247,0.0003,0.01
oversub_2to1_50g,TcpCubic,21714.22,0.0264,0.0001,0.02
oversub_2to1_50g,TcpNewReno,20676.68,0.0254,0.0003,0.01
oversub_2to1_50g,TcpSwift,22551.72,0.0253,0.0002,0.01
oversub_4to1_10g,TcpBbr,2065.07,0.1661,0.0006,0.01
oversub_4to1_10g,TcpCubic,2185.62,0.1950,0.0009,0.02
oversub_4to1_10g,TcpNewReno,2012.17,0.1517,0.0008,0.01
oversub_4to1_10g,TcpSwift,2251.38,0.1668,0.0007,0.01
oversub_4to1_40g,TcpBbr,7975.01,0.0435,0.0003,0.01
oversub_4to1_40g,TcpCubic,8328.06,0.0497,0.0006,0.01
oversub_4to1_40g,TcpNewReno,7953.09,0.0444,0.0004,0.01
oversub_4to1_40g,TcpSwift,8584.69,0.0436,0.0004,0.01
rdma_like_25g,TcpBbr,21263.35,0.0188,0.0001,0.02
rdma_like_25g,TcpCubic,21562.14,0.0194,0.0002,0.02
rdma_like_25g,TcpNewReno,20806.99,0.0183,0.0001,0.01
rdma_like_25g,TcpSwift,22283.56,0.0185,0.0001,0.02
rdma_like_50g,TcpBbr,42275.66,0.0098,0.0001,0.02
rdma_like_50g,TcpCubic,43805.72,0.0111,0.0000,0.02
rdma_like_50g,TcpNewReno,41408.81,0.0100,0.0001,0.01
rdma_like_50g,TcpSwift,45542.73,0.0099,0.0001,0.01
satellite_geo,TcpBbr,8.28,367.2213,4.2793,0.02
satellite_geo,TcpCubic,8.43,378.9036,5.2887,0.02
satellite_geo,TcpNewReno,8.17,378.8589,4.2720,0.02
satellite_geo,TcpSwift,8.78,381.2900,3.9248,0.02
satellite_leo,TcpBbr,128.80,32.0393,0.1420,0.03
satellite_leo,TcpCubic,128.20,33.0177,0.1262,0.02
satellite_leo,TcpNewReno,127.43,33.4088,0.1929,0.02
satellite_leo,TcpSwift,134.95,33.2849,0.1332,0.02
symmetric_low,TcpBbr,886.50,0.4958,0.0060,0.02
symmetric_low,TcpCubic,886.50,0.5029,0.0021,0.02
symmetric_low,TcpNewReno,886.50,0.5385,0.0019,0.02
symmetric_low,TcpSwift,904.99,0.5031,0.0020,0.02
wan_longhaul,TcpBbr,829.04,26.3964,0.2350,0.01
wan_longhaul,TcpCubic,844.47,26.6058,0.1847,0.02
wan_longhaul,TcpNewReno,830.25,27.2659,0.1142,0.02
wan_longhaul,TcpSwift,881.24,26.1603,0.1753,0.02
wan_metro,TcpBbr,863.42,2.6598,0.0271,0.02
wan_metro,TcpCubic,860.35,2.7151,0.0251,0.02
wan_metro,TcpNewReno,844.36,2.7965,0.0163,0.01
wan_metro,TcpSwift,909.37,2.6549,0.0246,0.02
wifi_ac,TcpBbr,325.68,7.7681,0.0999,0.02
wifi_ac,TcpCubic,332.05,8.0509,0.0311,0.01
wifi_ac,TcpNewReno,325.14,8.1044,0.0632,0.01
wifi_ac,TcpSwift,340.46,8.0957,0.0599,0.01
wifi_ax,TcpBbr,497.69,5.7430,0.0350,0.02
wifi_ax,TcpCubic,508.36,5.9325,0.0291,0.01
wifi_ax,TcpNewReno,494.60,5.8100,0.0294,0.01
wifi_ax,TcpSwift,522.57,5.8703,0.0280,0.01
wifi_legacy,TcpBbr,7.61,64.5116,0.4103,0.00
wifi_legacy,TcpCubic,8.25,79.9873,1.0746,0.02
wifi_legacy,TcpNewReno,7.87,72.2514,0.6580,0.02
wifi_legacy,TcpSwift,8.58,71.2199,0.5924,0.02
wifi_n,TcpBbr,40.83,21.9797,0.2144,0.01
wifi_n,TcpCubic,41.30,23.2653,0.2328,0.01
wifi_n,TcpNewReno,40.02,23.0975,0.2616,0.01
wifi_n,TcpSwift,42.66,22.2665,0.2227,0.01
