Scenario,Protocol,Type,AccessBW,BottleneckBW,Seeds,Throughput_Mbps,LossRate_Pct
dc_100g,TcpSwift,tcp,100Gbps,100Gbps,1,89305.0564,0.011738
dc_100g,TcpSwift,udp,100Gbps,100Gbps,1,63228.1961,0.028479
dc_100m,TcpBbr,tcp,1Gbps,100Mbps,1,81.0965,0.008804
dc_100m,TcpBbr,udp,1Gbps,100Mbps,1,58.7097,0.028372
dc_100m,TcpCubic,tcp,1Gbps,100Mbps,1,82.1846,0.013031
dc_100m,TcpCubic,udp,1Gbps,100Mbps,1,60.2007,0.024703
dc_100m,TcpNewReno,tcp,1Gbps,100Mbps,1,80.0724,0.008915
dc_100m,TcpNewReno,udp,1Gbps,100Mbps,1,57.6429,0.023733
dc_100m,TcpSwift,tcp,1Gbps,100Mbps,1,86.7044,0.008233
dc_100m,TcpSwift,udp,1Gbps,100Mbps,1,62.0185,0.022060
dc_500m,TcpBbr,tcp,1Gbps,500Mbps,1,435.0000,0.014770
dc_500m,TcpBbr,udp,1Gbps,500Mbps,1,285.4335,0.025004
dc_500m,TcpCubic,tcp,1Gbps,500Mbps,1,428.7858,0.014845
dc_500m,TcpCubic,udp,1Gbps,500Mbps,1,297.1874,0.034623
dc_500m,TcpNewReno,tcp,1Gbps,500Mbps,1,430.5332,0.016166
dc_500m,TcpNewReno,udp,1Gbps,500Mbps,1,285.2849,0.020435
dc_500m,TcpSwift,tcp,1Gbps,500Mbps,1,460.1705,0.015515
dc_500m,TcpSwift,udp,1Gbps,500Mbps,1,311.7955,0.023276
dc_oversub_10to1,TcpBbr,tcp,10Gbps,1Gbps,1,860.0735,0.016808
dc_oversub_10to1,TcpBbr,udp,10Gbps,1Gbps,1,603.2408,0.025242
dc_oversub_10to1,TcpCubic,tcp,10Gbps,1Gbps,1,846.4989,0.016867
dc_oversub_10to1,TcpCubic,udp,10Gbps,1Gbps,1,587.8711,0.027117
dc_oversub_10to1,TcpNewReno,tcp,10Gbps,1Gbps,1,835.7300,0.012314
dc_oversub_10to1,TcpNewReno,udp,10Gbps,1Gbps,1,589.2997,0.022104
dc_oversub_10to1,TcpSwift,tcp,10Gbps,1Gbps,1,895.5530,0.014413
dc_oversub_10to1,TcpSwift,udp,10Gbps,1Gbps,1,635.7873,0.024139
intra_rack_10g,TcpBbr,tcp,25Gbps,10Gbps,1,8762.9287,0.022027
intra_rack_10g,TcpBbr,udp,25Gbps,10Gbps,1,5988.6585,0.034926
intra_rack_10g,TcpCubic,tcp,25Gbps,10Gbps,1,8865.0001,0.021092
intra_rack_10g,TcpCubic,udp,25Gbps,10Gbps,1,6063.0598,0.034204
intra_rack_10g,TcpNewReno,tcp,25Gbps,10Gbps,1,8687.3511,0.021352
intra_rack_10g,TcpNewReno,udp,25Gbps,10Gbps,1,5767.7645,0.023600
intra_rack_10g,TcpSwift,tcp,25Gbps,10Gbps,1,9302.5674,0.018000
intra_rack_10g,TcpSwift,udp,25Gbps,10Gbps,1,6295.2362,0.033151
intra_rack_25g,TcpBbr,tcp,25Gbps,25Gbps,1,21161.4154,0.015294
intra_rack_25g,TcpBbr,udp,25Gbps,25Gbps,1,14268.4180,0.030531
intra_rack_25g,TcpCubic,tcp,25Gbps,25Gbps,1,21236.8230,0.011057
intra_rack_25g,TcpCubic,udp,25Gbps,25Gbps,1,14888.3520,0.030301
intra_rack_25g,TcpNewReno,tcp,25Gbps,25Gbps,1,20483.7795,0.007979
intra_rack_25g,TcpNewReno,udp,25Gbps,25Gbps,1,14181.8159,0.021373
intra_rack_25g,TcpSwift,tcp,25Gbps,25Gbps,1,22425.3727,0.009896
intra_rack_25g,TcpSwift,udp,25Gbps,25Gbps,1,15765.9091,0.028656
leaf_spine_20g,TcpBbr,tcp,50Gbps,20Gbps,1,16805.3000,0.010505
leaf_spine_20g,TcpBbr,udp,50Gbps,20Gbps,1,11754.8478,0.032565
leaf_spine_20g,TcpCubic,tcp,50Gbps,20Gbps,1,17545.7179,0.017641
leaf_spine_20g,TcpCubic,udp,50Gbps,20Gbps,1,12236.3589,0.036815
leaf_spine_20g,TcpNewReno,tcp,50Gbps,20Gbps,1,16279.4006,0.010074
leaf_spine_20g,TcpNewReno,udp,50Gbps,20Gbps,1,11781.9550,0.026005
leaf_spine_20g,TcpSwift,tcp,50Gbps,20Gbps,1,18016.6463,0.009991
leaf_spine_20g,TcpSwift,udp,50Gbps,20Gbps,1,12721.8873,0.030575
leaf_spine_50g,TcpBbr,tcp,50Gbps,50Gbps,1,41699.6201,0.012486
leaf_spine_50g,TcpBbr,udp,50Gbps,50Gbps,1,29522.8013,0.035148
leaf_spine_50g,TcpCubic,tcp,50Gbps,50Gbps,1,41621.4432,0.010938
leaf_spine_50g,TcpCubic,udp,50Gbps,50Gbps,1,29175.5412,0.029327
leaf_spine_50g,TcpNewReno,tcp,50Gbps,50Gbps,1,41189.3289,0.009708
leaf_spine_50g,TcpNewReno,udp,50Gbps,50Gbps,1,27865.7762,0.022714
leaf_spine_50g,TcpSwift,tcp,50Gbps,50Gbps,1,43160.5500,0.009218
leaf_spine_50g,TcpSwift,udp,50Gbps,50Gbps,1,30188.2976,0.024151
lte_good,TcpBbr,tcp,100Mbps,50Mbps,1,41.1397,0.017353
lte_good,TcpBbr,udp,100Mbps,50Mbps,1,27.4574,0.021662
lte_good,TcpCubic,tcp,100Mbps,50Mbps,1,41.1236,0.013016
lte_good,TcpCubic,udp,100Mbps,50Mbps,1,28.4952,0.020875
lte_good,TcpNewReno,tcp,100Mbps,50Mbps,1,39.9579,0.008931
lte_good,TcpNewReno,udp,100Mbps,50Mbps,1,27.6103,0.030154
lte_good,TcpSwift,tcp,100Mbps,50Mbps,1,42.2643,0.012668
lte_good,TcpSwift,udp,100Mbps,50Mbps,1,29.2289,0.024421
lte_poor,TcpBbr,tcp,50Mbps,10Mbps,1,8.1789,0.021815
lte_poor,TcpBbr,udp,50Mbps,10Mbps,1,5.7674,0.030947
lte_poor,TcpCubic,tcp,50Mbps,10Mbps,1,8.0512,0.022175
lte_poor,TcpCubic,udp,50Mbps,10Mbps,1,5.7375,0.031101
lte_poor,TcpNewReno,tcp,50Mbps,10Mbps,1,7.9186,0.022534
lte_poor,TcpNewReno,udp,50Mbps,10Mbps,1,5.3620,0.033278
lte_poor,TcpSwift,tcp,50Mbps,10Mbps,1,8.5035,0.020985
lte_poor,TcpSwift,udp,50Mbps,10Mbps,1,5.9603,0.029934
mixed_large_flow,TcpBbr,tcp,50Gbps,12.5Gbps,1,10790.7802,0.013458
mixed_large_flow,TcpBbr,udp,50Gbps,12.5Gbps,1,7565.0781,0.033944
mixed_large_flow,TcpCubic,tcp,50Gbps,12.5Gbps,1,11052.0339,0.021560
mixed_large_flow,TcpCubic,udp,50Gbps,12.5Gbps,1,7471.4507,0.031766
mixed_large_flow,TcpNewReno,tcp,50Gbps,12.5Gbps,1,10780.3306,0.016188
mixed_large_flow,TcpNewReno,udp,50Gbps,12.5Gbps,1,7345.8215,0.029970
mixed_large_flow,TcpSwift,tcp,50Gbps,12.5Gbps,1,11501.7331,0.016087
mixed_large_flow,TcpSwift,udp,50Gbps,12.5Gbps,1,7759.6329,0.032521
mixed_small_flow,TcpBbr,tcp,10Gbps,2Gbps,1,1699.8406,0.017358
mixed_small_flow,TcpBbr,udp,10Gbps,2Gbps,1,1173.1292,0.031385
mixed_small_flow,TcpCubic,tcp,10Gbps,2Gbps,1,1756.7147,0.023707
mixed_small_flow,TcpCubic,udp,10Gbps,2Gbps,1,1196.3815,0.032311
mixed_small_flow,TcpNewReno,tcp,10Gbps,2Gbps,1,1698.3328,0.015131
mixed_small_flow,TcpNewReno,udp,10Gbps,2Gbps,1,1157.1746,0.025286
mixed_small_flow,TcpSwift,tcp,10Gbps,2Gbps,1,1851.8626,0.015226
mixed_small_flow,TcpSwift,udp,10Gbps,2Gbps,1,1222.7975,0.027190
nr_5g_edge,TcpBbr,tcp,500Mbps,100Mbps,1,83.0730,0.017187
nr_5g_edge,TcpBbr,udp,500Mbps,100Mbps,1,55.9858,0.031873
nr_5g_edge,TcpCubic,tcp,500Mbps,100Mbps,1,82.4591,0.016595
nr_5g_edge,TcpCubic,udp,500Mbps,100Mbps,1,58.5734,0.038588
nr_5g_edge,TcpNewReno,tcp,500Mbps,100Mbps,1,82.8926,0.020094
nr_5g_edge,TcpNewReno,udp,500Mbps,100Mbps,1,55.9123,0.024464
nr_5g_edge,TcpSwift,tcp,500Mbps,100Mbps,1,87.8031,0.018972
nr_5g_edge,TcpSwift,udp,500Mbps,100Mbps,1,60.7682,0.028383
nr_5g_embb,TcpBbr,tcp,1Gbps,500Mbps,1,402.1866,0.013168
nr_5g_embb,TcpBbr,udp,1Gbps,500Mbps,1,270.7991,0.019986
nr_5g_embb,TcpCubic,tcp,1Gbps,500Mbps,1,408.6312,0.016452
nr_5g_embb,TcpCubic,udp,1Gbps,500Mbps,1,281.1111,0.032154
nr_5g_embb,TcpNewReno,tcp,1Gbps,500Mbps,1,399.0074,0.012077
nr_5g_embb,TcpNewReno,udp,1Gbps,500Mbps,1,272.1343,0.020115
nr_5g_embb,TcpSwift,tcp,1Gbps,500Mbps,1,429.5118,0.012189
nr_5g_embb,TcpSwift,udp,1Gbps,500Mbps,1,295.9625,0.020099
oversub_2to1_25g,TcpBbr,tcp,25Gbps,12.5Gbps,1,10949.5007,0.021363
oversub_2to1_25g,TcpBbr,udp,25Gbps,12.5Gbps,1,7519.9678,0.024790
oversub_2to1_25g,TcpCubic,tcp,25Gbps,12.5Gbps,1,10991.7581,0.021837
oversub_2to1_25g,TcpCubic,udp,25Gbps,12.5Gbps,1,7520.4481,0.024743
oversub_2to1_25g,TcpNewReno,tcp,25Gbps,12.5Gbps,1,10663.3988,0.012047
oversub_2to1_25g,TcpNewReno,udp,25Gbps,12.5Gbps,1,7448.6361,0.030154
oversub_2to1_25g,TcpSwift,tcp,25Gbps,12.5Gbps,1,11427.6619,0.021936
oversub_2to1_25g,TcpSwift,udp,25Gbps,12.5Gbps,1,7784.0471,0.024071
oversub_2to1_50g,TcpBbr,tcp,50Gbps,25Gbps,1,20976.9578,0.011233
oversub_2to1_50g,TcpBbr,udp,50Gbps,25Gbps,1,14940.5683,0.033260
oversub_2to1_50g,TcpCubic,tcp,50Gbps,25Gbps,1,21714.2188,0.015885
oversub_2to1_50g,TcpCubic,udp,50Gbps,25Gbps,1,14593.3317,0.033746
oversub_2to1_50g,TcpNewReno,tcp,50Gbps,25Gbps,1,20676.6780,0.007823
oversub_2to1_50g,TcpNewReno,udp,50Gbps,25Gbps,1,14535.6239,0.029610
oversub_2to1_50g,TcpSwift,tcp,50Gbps,25Gbps,1,22551.7168,0.009763
oversub_2to1_50g,TcpSwift,udp,50Gbps,25Gbps,1,15503.0976,0.030117
oversub_4to1_10g,TcpBbr,tcp,10Gbps,2.5Gbps,1,2065.0728,0.009248
oversub_4to1_10g,TcpBbr,udp,10Gbps,2.5Gbps,1,1466.6296,0.032725
oversub_4to1_10g,TcpCubic,tcp,10Gbps,2.5Gbps,1,2185.6210,0.020112
oversub_4to1_10g,TcpCubic,udp,10Gbps,2.5Gbps,1,1483.3527,0.026303
oversub_4to1_10g,TcpNewReno,tcp,10Gbps,2.5Gbps,1,2012.1662,0.006948
oversub_4to1_10g,TcpNewReno,udp,10Gbps,2.5Gbps,1,1468.0158,0.032257
oversub_4to1_10g,TcpSwift,tcp,10Gbps,2.5Gbps,1,2251.3841,0.007928
oversub_4to1_10g,TcpSwift,udp,10Gbps,2.5Gbps,1,1541.7971,0.034257
oversub_4to1_40g,TcpBbr,tcp,40Gbps,10Gbps,1,7975.0126,0.007065
oversub_4to1_40g,TcpBbr,udp,40Gbps,10Gbps,1,5758.4232,0.029419
oversub_4to1_40g,TcpCubic,tcp,40Gbps,10Gbps,1,8328.0564,0.012180
oversub_4to1_40g,TcpCubic,udp,40Gbps,10Gbps,1,5785.5382,0.020761
oversub_4to1_40g,TcpNewReno,tcp,40Gbps,10Gbps,1,7953.0897,0.006470
oversub_4to1_40g,TcpNewReno,udp,40Gbps,10Gbps,1,5668.8294,0.017102
oversub_4to1_40g,TcpSwift,tcp,40Gbps,10Gbps,1,8584.6946,0.006675
oversub_4to1_40g,TcpSwift,udp,40Gbps,10Gbps,1,6024.3745,0.020055
rdma_like_25g,TcpBbr,tcp,25Gbps,25Gbps,1,21263.3474,0.016505
rdma_like_25g,TcpBbr,udp,25Gbps,25Gbps,1,14894.2464,0.033158
rdma_like_25g,TcpCubic,tcp,25Gbps,25Gbps,1,21562.1425,0.020191
rdma_like_25g,TcpCubic,udp,25Gbps,25Gbps,1,15244.2952,0.030042
rdma_like_25g,TcpNewReno,tcp,25Gbps,25Gbps,1,20806.9939,0.010305
rdma_like_25g,TcpNewReno,udp,25Gbps,25Gbps,1,14350.4772,0.028773
rdma_like_25g,TcpSwift,tcp,25Gbps,25Gbps,1,22283.5583,0.015478
rdma_like_25g,TcpSwift,udp,25Gbps,25Gbps,1,15611.6655,0.027950
rdma_like_50g,TcpBbr,tcp,50Gbps,50Gbps,1,42275.6560,0.015552
rdma_like_50g,TcpBbr,udp,50Gbps,50Gbps,1,28768.7300,0.024679
rdma_like_50g,TcpCubic,tcp,50Gbps,50Gbps,1,43805.7192,0.022251
rdma_like_50g,TcpCubic,udp,50Gbps,50Gbps,1,29664.8291,0.034614
rdma_like_50g,TcpNewReno,tcp,50Gbps,50Gbps,1,41408.8145,0.010675
rdma_like_50g,TcpNewReno,udp,50Gbps,50Gbps,1,29279.5177,0.035153
rdma_like_50g,TcpSwift,tcp,50Gbps,50Gbps,1,45542.7331,0.014133
rdma_like_50g,TcpSwift,udp,50Gbps,50Gbps,1,31174.7344,0.036385
satellite_geo,TcpBbr,tcp,50Mbps,10Mbps,1,8.2786,0.021558
satellite_geo,TcpBbr,udp,50Mbps,10Mbps,1,5.4734,0.032595
satellite_geo,TcpCubic,tcp,50Mbps,10Mbps,1,8.4296,0.021163
satellite_geo,TcpCubic,udp,50Mbps,10Mbps,1,5.3965,0.033051
satellite_geo,TcpNewReno,tcp,50Mbps,10Mbps,1,8.1682,0.021845
satellite_geo,TcpNewReno,udp,50Mbps,10Mbps,1,5.1323,0.034775
satellite_geo,TcpSwift,tcp,50Mbps,10Mbps,1,8.7846,0.020313
satellite_geo,TcpSwift,udp,50Mbps,10Mbps,1,5.6482,0.031592
satellite_leo,TcpBbr,tcp,500Mbps,150Mbps,1,128.8025,0.025863
satellite_leo,TcpBbr,udp,500Mbps,150Mbps,1,86.8160,0.028095
satellite_leo,TcpCubic,tcp,500Mbps,150Mbps,1,128.1958,0.015317
satellite_leo,TcpCubic,udp,500Mbps,150Mbps,1,88.8576,0.040819
satellite_leo,TcpNewReno,tcp,500Mbps,150Mbps,1,127.4339,0.022399
satellite_leo,TcpNewReno,udp,500Mbps,150Mbps,1,85.4587,0.034104
satellite_leo,TcpSwift,tcp,500Mbps,150Mbps,1,134.9462,0.022483
satellite_leo,TcpSwift,udp,500Mbps,150Mbps,1,93.5818,0.031143
symmetric_low,TcpBbr,tcp,1Gbps,1Gbps,1,886.5002,0.020868
symmetric_low,TcpBbr,udp,1Gbps,1Gbps,1,602.9227,0.028411
symmetric_low,TcpCubic,tcp,1Gbps,1Gbps,1,886.5001,0.022476
symmetric_low,TcpCubic,udp,1Gbps,1Gbps,1,583.3284,0.032934
symmetric_low,TcpNewReno,tcp,1Gbps,1Gbps,1,886.5002,0.020199
symmetric_low,TcpNewReno,udp,1Gbps,1Gbps,1,592.5530,0.032015
symmetric_low,TcpSwift,tcp,1Gbps,1Gbps,1,904.9948,0.020903
symmetric_low,TcpSwift,udp,1Gbps,1Gbps,1,627.1820,0.034802
wan_longhaul,TcpBbr,tcp,10Gbps,1Gbps,1,829.0432,0.012126
wan_longhaul,TcpBbr,udp,10Gbps,1Gbps,1,549.6885,0.026942
wan_longhaul,TcpCubic,tcp,10Gbps,1Gbps,1,844.4742,0.020988
wan_longhaul,TcpCubic,udp,10Gbps,1Gbps,1,563.1029,0.032116
wan_longhaul,TcpNewReno,tcp,10Gbps,1Gbps,1,830.2537,0.016980
wan_longhaul,TcpNewReno,udp,10Gbps,1Gbps,1,527.0107,0.019523
wan_longhaul,TcpSwift,tcp,10Gbps,1Gbps,1,881.2421,0.015934
wan_longhaul,TcpSwift,udp,10Gbps,1Gbps,1,576.4507,0.024558
wan_metro,TcpBbr,tcp,10Gbps,1Gbps,1,863.4238,0.023696
wan_metro,TcpBbr,udp,10Gbps,1Gbps,1,575.6885,0.029742
wan_metro,TcpCubic,tcp,10Gbps,1Gbps,1,860.3479,0.022677
wan_metro,TcpCubic,udp,10Gbps,1Gbps,1,574.7426,0.032497
wan_metro,TcpNewReno,tcp,10Gbps,1Gbps,1,844.3562,0.011485
wan_metro,TcpNewReno,udp,10Gbps,1Gbps,1,570.5873,0.033051
wan_metro,TcpSwift,tcp,10Gbps,1Gbps,1,909.3701,0.020474
wan_metro,TcpSwift,udp,10Gbps,1Gbps,1,591.1743,0.028774
wifi_ac,TcpBbr,tcp,1Gbps,400Mbps,1,325.6787,0.016810
wifi_ac,TcpBbr,udp,1Gbps,400Mbps,1,223.4599,0.018373
wifi_ac,TcpCubic,tcp,1Gbps,400Mbps,1,332.0520,0.014155
wifi_ac,TcpCubic,udp,1Gbps,400Mbps,1,231.7793,0.029007
wifi_ac,TcpNewReno,tcp,1Gbps,400Mbps,1,325.1353,0.014269
wifi_ac,TcpNewReno,udp,1Gbps,400Mbps,1,228.7356,0.019763
wifi_ac,TcpSwift,tcp,1Gbps,400Mbps,1,340.4630,0.014329
wifi_ac,TcpSwift,udp,1Gbps,400Mbps,1,243.8515,0.016832
wifi_ax,TcpBbr,tcp,1Gbps,600Mbps,1,497.6853,0.018050
wifi_ax,TcpBbr,udp,1Gbps,600Mbps,1,350.7511,0.023066
wifi_ax,TcpCubic,tcp,1Gbps,600Mbps,1,508.3614,0.013458
wifi_ax,TcpCubic,udp,1Gbps,600Mbps,1,364.2928,0.038368
wifi_ax,TcpNewReno,tcp,1Gbps,600Mbps,1,494.6040,0.012627
wifi_ax,TcpNewReno,udp,1Gbps,600Mbps,1,349.7813,0.033333
wifi_ax,TcpSwift,tcp,1Gbps,600Mbps,1,522.5741,0.011612
wifi_ax,TcpSwift,udp,1Gbps,600Mbps,1,374.1393,0.031474
wifi_legacy,TcpBbr,tcp,100Mbps,10Mbps,1,7.6146,0.000000
wifi_legacy,TcpBbr,udp,100Mbps,10Mbps,1,5.3741,0.033212
wifi_legacy,TcpCubic,tcp,100Mbps,10Mbps,1,8.2466,0.021645
wifi_legacy,TcpCubic,udp,100Mbps,10Mbps,1,5.4127,0.032963
wifi_legacy,TcpNewReno,tcp,100Mbps,10Mbps,1,7.8730,0.022660
wifi_legacy,TcpNewReno,udp,100Mbps,10Mbps,1,5.2199,0.034180
wifi_legacy,TcpSwift,tcp,100Mbps,10Mbps,1,8.5799,0.020799
wifi_legacy,TcpSwift,udp,100Mbps,10Mbps,1,5.7024,0.031296
wifi_n,TcpBbr,tcp,100Mbps,50Mbps,1,40.8319,0.013113
wifi_n,TcpBbr,udp,100Mbps,50Mbps,1,29.1632,0.024479
wifi_n,TcpCubic,tcp,100Mbps,50Mbps,1,41.2976,0.012967
wifi_n,TcpCubic,udp,100Mbps,50Mbps,1,29.0922,0.022496
wifi_n,TcpNewReno,tcp,100Mbps,50Mbps,1,40.0179,0.008919
wifi_n,TcpNewReno,udp,100Mbps,50Mbps,1,27.5075,0.030268
wifi_n,TcpSwift,tcp,100Mbps,50Mbps,1,42.6578,0.012553
wifi_n,TcpSwift,udp,100Mbps,50Mbps,1,30.1476,0.025655
