Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,congested_medium,TcpBbr,2000.0,0.009,3,49153/5000,1658.45,0.8292,0.2017,0.002,0.0119,0.9984,comparison/congested_medium_TcpBbr.flowmonitor
tcp_only,congested_medium,TcpCubic,2000.0,0.009,3,49153/5000,1713.23,0.8566,0.2382,0.0027,0.0121,0.9998,comparison/congested_medium_TcpCubic.flowmonitor
tcp_only,congested_medium,TcpNewReno,2000.0,0.009,3,49153/5000,1614.44,0.8072,0.2006,0.0008,0.0085,0.9999,comparison/congested_medium_TcpNewReno.flowmonitor
tcp_only,congested_medium,TcpSwift,2000.0,0.009,3,49153/5000,1753.33,0.8767,0.2009,0.0019,0.0108,0.9998,comparison/congested_medium_TcpSwift.flowmonitor
tcp_only,cross_dc_wan,TcpBbr,1000.0,5.02,3,49153/5000,851.85,0.8518,5.2814,0.028,0.0189,0.9996,comparison/cross_dc_wan_TcpBbr.flowmonitor
tcp_only,cross_dc_wan,TcpCubic,1000.0,5.02,3,49153/5000,822.83,0.8228,5.435,0.0459,0.0147,0.996,comparison/cross_dc_wan_TcpCubic.flowmonitor
tcp_only,cross_dc_wan,TcpNewReno,1000.0,5.02,3,49153/5000,819.23,0.8192,5.7355,0.0475,0.0112,0.9947,comparison/cross_dc_wan_TcpNewReno.flowmonitor
tcp_only,cross_dc_wan,TcpSwift,1000.0,5.02,3,49153/5000,870.27,0.8703,5.4327,0.0418,0.0148,0.9999,comparison/cross_dc_wan_TcpSwift.flowmonitor
tcp_only,cross_pod_10g,TcpBbr,10000.0,0.06,3,49153/5000,8821.21,0.8821,0.109,0.0006,0.0175,0.9998,comparison/cross_pod_10g_TcpBbr.flowmonitor
tcp_only,cross_pod_10g,TcpCubic,10000.0,0.06,3,49153/5000,8822.38,0.8822,0.1065,0.0005,0.0223,0.9973,comparison/cross_pod_10g_TcpCubic.flowmonitor
tcp_only,cross_pod_10g,TcpNewReno,10000.0,0.06,3,49153/5000,8476.68,0.8477,0.1057,0.0012,0.0157,0.9997,comparison/cross_pod_10g_TcpNewReno.flowmonitor
tcp_only,cross_pod_10g,TcpSwift,10000.0,0.06,3,49153/5000,9327.25,0.9327,0.1067,0.0006,0.0159,0.9985,comparison/cross_pod_10g_TcpSwift.flowmonitor
tcp_only,cross_pod_20g,TcpBbr,20000.0,0.06,3,49153/5000,17643.77,0.8822,0.0841,0.001,0.0203,0.9982,comparison/cross_pod_20g_TcpBbr.flowmonitor
tcp_only,cross_pod_20g,TcpCubic,20000.0,0.06,3,49153/5000,17642.43,0.8821,0.0839,0.0003,0.0205,0.9997,comparison/cross_pod_20g_TcpCubic.flowmonitor
tcp_only,cross_pod_20g,TcpNewReno,20000.0,0.06,3,49153/5000,17020.25,0.851,0.086,0.0011,0.0173,0.9996,comparison/cross_pod_20g_TcpNewReno.flowmonitor
tcp_only,cross_pod_20g,TcpSwift,20000.0,0.06,3,49153/5000,18423.98,0.9212,0.0851,0.0011,0.0182,0.9996,comparison/cross_pod_20g_TcpSwift.flowmonitor
tcp_only,dc_100g,TcpBbr,100000.0,0.004,3,49153/5000,84770.66,0.8477,0.0079,0.0,0.0119,0.9981,comparison/dc_100g_TcpBbr.flowmonitor
tcp_only,dc_100g,TcpCubic,100000.0,0.004,3,49153/5000,85228.23,0.8523,0.0081,0.0001,0.0157,0.9995,comparison/dc_100g_TcpCubic.flowmonitor
tcp_only,dc_100g,TcpNewReno,100000.0,0.004,3,49153/5000,81929.09,0.8193,0.0079,0.0001,0.0107,0.9997,comparison/dc_100g_TcpNewReno.flowmonitor
tcp_only,dc_100g,TcpSwift,100000.0,0.004,3,49153/5000,88860.64,0.8886,0.0079,0.0001,0.0117,1.0,comparison/dc_100g_TcpSwift.flowmonitor
tcp_only,dc_100m,TcpBbr,100.0,0.009,3,49153/5000,80.69,0.8069,3.8845,0.0348,0.0088,0.9973,comparison/dc_100m_TcpBbr.flowmonitor
tcp_only,dc_100m,TcpCubic,100.0,0.009,3,49153/5000,81.76,0.8176,4.0837,0.0293,0.013,0.9991,comparison/dc_100m_TcpCubic.flowmonitor
tcp_only,dc_100m,TcpNewReno,100.0,0.009,3,49153/5000,79.68,0.7968,3.7952,0.0357,0.0089,0.9996,comparison/dc_100m_TcpNewReno.flowmonitor
tcp_only,dc_100m,TcpSwift,100.0,0.009,3,49153/5000,86.28,0.8628,3.9,0.0354,0.0082,0.999,comparison/dc_100m_TcpSwift.flowmonitor
tcp_only,dc_500m,TcpBbr,500.0,0.009,3,49153/5000,432.83,0.8657,0.8815,0.0039,0.0148,0.9998,comparison/dc_500m_TcpBbr.flowmonitor
tcp_only,dc_500m,TcpCubic,500.0,0.009,3,49153/5000,426.64,0.8533,0.8516,0.0024,0.0148,0.9999,comparison/dc_500m_TcpCubic.flowmonitor
tcp_only,dc_500m,TcpNewReno,500.0,0.009,3,49153/5000,428.38,0.8568,0.9003,0.006,0.0162,0.9989,comparison/dc_500m_TcpNewReno.flowmonitor
tcp_only,dc_500m,TcpSwift,500.0,0.009,3,49153/5000,457.81,0.9156,0.8489,0.0036,0.0155,0.9987,comparison/dc_500m_TcpSwift.flowmonitor
tcp_only,dc_oversub_10to1,TcpBbr,1000.0,0.009,3,49153/5000,855.72,0.8557,0.4583,0.0041,0.0168,0.9998,comparison/dc_oversub_10to1_TcpBbr.flowmonitor
tcp_only,dc_oversub_10to1,TcpCubic,1000.0,0.009,3,49153/5000,842.22,0.8422,0.4466,0.0022,0.0169,0.9988,comparison/dc_oversub_10to1_TcpCubic.flowmonitor
tcp_only,dc_oversub_10to1,TcpNewReno,1000.0,0.009,3,49153/5000,831.59,0.8316,0.4504,0.0022,0.0123,0.999,comparison/dc_oversub_10to1_TcpNewReno.flowmonitor
tcp_only,dc_oversub_10to1,TcpSwift,1000.0,0.009,3,49153/5000,891.16,0.8912,0.4541,0.0022,0.0144,0.9994,comparison/dc_oversub_10to1_TcpSwift.flowmonitor
tcp_only,intra_rack_10g,TcpBbr,10000.0,0.004,3,49153/5000,8719.32,0.8719,0.0513,0.0005,0.022,0.9992,comparison/intra_rack_10g_TcpBbr.flowmonitor
tcp_only,intra_rack_10g,TcpCubic,10000.0,0.004,3,49153/5000,8819.88,0.882,0.0524,0.0004,0.0211,0.9995,comparison/intra_rack_10g_TcpCubic.flowmonitor
tcp_only,intra_rack_10g,TcpNewReno,10000.0,0.004,3,49153/5000,8643.14,0.8643,0.0515,0.0005,0.0214,0.9992,comparison/intra_rack_10g_TcpNewReno.flowmonitor
tcp_only,intra_rack_10g,TcpSwift,10000.0,0.004,3,49153/5000,9256.74,0.9257,0.0502,0.0005,0.018,0.9996,comparison/intra_rack_10g_TcpSwift.flowmonitor
tcp_only,intra_rack_25g,TcpBbr,25000.0,0.004,3,49153/5000,21058.2,0.8423,0.0206,0.0001,0.0153,0.9989,comparison/intra_rack_25g_TcpBbr.flowmonitor
tcp_only,intra_rack_25g,TcpCubic,25000.0,0.004,3,49153/5000,21129.54,0.8452,0.0207,0.0001,0.0111,0.9994,comparison/intra_rack_25g_TcpCubic.flowmonitor
tcp_only,intra_rack_25g,TcpNewReno,25000.0,0.004,3,49153/5000,20379.47,0.8152,0.019,0.0001,0.008,0.9993,comparison/intra_rack_25g_TcpNewReno.flowmonitor
tcp_only,intra_rack_25g,TcpSwift,25000.0,0.004,3,49153/5000,22311.82,0.8925,0.0199,0.0001,0.0099,0.9983,comparison/intra_rack_25g_TcpSwift.flowmonitor
tcp_only,leaf_spine_20g,TcpBbr,20000.0,0.009,3,49153/5000,16718.1,0.8359,0.0281,0.0002,0.0105,0.9978,comparison/leaf_spine_20g_TcpBbr.flowmonitor
tcp_only,leaf_spine_20g,TcpCubic,20000.0,0.009,3,49153/5000,17457.71,0.8729,0.0331,0.0001,0.0176,0.9999,comparison/leaf_spine_20g_TcpCubic.flowmonitor
tcp_only,leaf_spine_20g,TcpNewReno,20000.0,0.009,3,49153/5000,16200.15,0.81,0.0279,0.0001,0.0101,0.998,comparison/leaf_spine_20g_TcpNewReno.flowmonitor
tcp_only,leaf_spine_20g,TcpSwift,20000.0,0.009,3,49153/5000,17928.04,0.8964,0.0274,0.0001,0.01,0.9996,comparison/leaf_spine_20g_TcpSwift.flowmonitor
tcp_only,leaf_spine_50g,TcpBbr,50000.0,0.009,3,49153/5000,41486.87,0.8297,0.0163,0.0001,0.0125,0.9993,comparison/leaf_spine_50g_TcpBbr.flowmonitor
tcp_only,leaf_spine_50g,TcpCubic,50000.0,0.009,3,49153/5000,41417.42,0.8283,0.0168,0.0001,0.0109,0.9993,comparison/leaf_spine_50g_TcpCubic.flowmonitor
tcp_only,leaf_spine_50g,TcpNewReno,50000.0,0.009,3,49153/5000,40982.91,0.8197,0.0166,0.0002,0.0097,0.9992,comparison/leaf_spine_50g_TcpNewReno.flowmonitor
tcp_only,leaf_spine_50g,TcpSwift,50000.0,0.009,3,49153/5000,42940.06,0.8588,0.0165,0.0001,0.0092,0.999,comparison/leaf_spine_50g_TcpSwift.flowmonitor
tcp_only,lte_good,TcpBbr,50.0,30.0,3,49153/5000,40.93,0.8186,37.4833,0.3281,0.0174,0.9998,comparison/lte_good_TcpBbr.flowmonitor
tcp_only,lte_good,TcpCubic,50.0,30.0,3,49153/5000,40.93,0.8186,39.1253,0.4388,0.013,0.9905,comparison/lte_good_TcpCubic.flowmonitor
tcp_only,lte_good,TcpNewReno,50.0,30.0,3,49153/5000,39.77,0.7953,39.5563,0.4031,0.0089,0.9977,comparison/lte_good_TcpNewReno.flowmonitor
tcp_only,lte_good,TcpSwift,50.0,30.0,3,49153/5000,42.05,0.8411,37.632,0.4184,0.0127,0.9976,comparison/lte_good_TcpSwift.flowmonitor
tcp_only,lte_poor,TcpBbr,10.0,70.0,3,49153/5000,8.14,0.8139,118.1664,1.0475,0.0218,0.9983,comparison/lte_poor_TcpBbr.flowmonitor
tcp_only,lte_poor,TcpCubic,10.0,70.0,3,49153/5000,8.01,0.8007,115.4021,0.5818,0.0222,0.9871,comparison/lte_poor_TcpCubic.flowmonitor
tcp_only,lte_poor,TcpNewReno,10.0,70.0,3,49153/5000,7.88,0.788,116.4265,0.4498,0.0225,0.9933,comparison/lte_poor_TcpNewReno.flowmonitor
tcp_only,lte_poor,TcpSwift,10.0,70.0,3,49153/5000,8.46,0.8461,114.4919,0.5952,0.021,0.9987,comparison/lte_poor_TcpSwift.flowmonitor
tcp_only,mixed_large_flow,TcpBbr,12500.0,0.014,3,49153/5000,10736.5,0.8589,0.0505,0.0006,0.0135,0.9998,comparison/mixed_large_flow_TcpBbr.flowmonitor
tcp_only,mixed_large_flow,TcpCubic,12500.0,0.014,3,49153/5000,10994.82,0.8796,0.0518,0.0004,0.0216,0.9979,comparison/mixed_large_flow_TcpCubic.flowmonitor
tcp_only,mixed_large_flow,TcpNewReno,12500.0,0.014,3,49153/5000,10728.2,0.8583,0.0526,0.0005,0.0162,0.9973,comparison/mixed_large_flow_TcpNewReno.flowmonitor
tcp_only,mixed_large_flow,TcpSwift,12500.0,0.014,3,49153/5000,11442.82,0.9154,0.0527,0.0005,0.0161,0.9991,comparison/mixed_large_flow_TcpSwift.flowmonitor
tcp_only,mixed_small_flow,TcpBbr,2000.0,0.014,3,49153/5000,1691.28,0.8456,0.2301,0.0025,0.0174,0.9999,comparison/mixed_small_flow_TcpBbr.flowmonitor
tcp_only,mixed_small_flow,TcpCubic,2000.0,0.014,3,49153/5000,1747.63,0.8738,0.2494,0.0018,0.0237,0.9982,comparison/mixed_small_flow_TcpCubic.flowmonitor
tcp_only,mixed_small_flow,TcpNewReno,2000.0,0.014,3,49153/5000,1689.9,0.8449,0.2339,0.0017,0.0151,0.999,comparison/mixed_small_flow_TcpNewReno.flowmonitor
tcp_only,mixed_small_flow,TcpSwift,2000.0,0.014,3,49153/5000,1842.73,0.9214,0.2313,0.0017,0.0152,0.9997,comparison/mixed_small_flow_TcpSwift.flowmonitor
tcp_only,nr_5g_edge,TcpBbr,100.0,14.0,3,49153/5000,82.65,0.8265,18.2525,0.0933,0.0172,0.9933,comparison/nr_5g_edge_TcpBbr.flowmonitor
tcp_only,nr_5g_edge,TcpCubic,100.0,14.0,3,49153/5000,82.04,0.8204,19.0235,0.151,0.0166,0.9989,comparison/nr_5g_edge_TcpCubic.flowmonitor
tcp_only,nr_5g_edge,TcpNewReno,100.0,14.0,3,49153/5000,82.48,0.8248,19.2767,0.1657,0.0201,0.996,comparison/nr_5g_edge_TcpNewReno.flowmonitor
tcp_only,nr_5g_edge,TcpSwift,100.0,14.0,3,49153/5000,87.35,0.8735,19.3383,0.1563,0.019,0.9992,comparison/nr_5g_edge_TcpSwift.flowmonitor
tcp_only,nr_5g_embb,TcpBbr,500.0,7.0,3,49153/5000,400.06,0.8001,7.7523,0.0975,0.0132,0.9898,comparison/nr_5g_embb_TcpBbr.flowmonitor
tcp_only,nr_5g_embb,TcpCubic,500.0,7.0,3,49153/5000,406.56,0.8131,7.9536,0.0261,0.0165,0.9995,comparison/nr_5g_embb_TcpCubic.flowmonitor
tcp_only,nr_5g_embb,TcpNewReno,500.0,7.0,3,49153/5000,397.02,0.794,8.2075,0.0415,0.0121,0.9948,comparison/nr_5g_embb_TcpNewReno.flowmonitor
tcp_only,nr_5g_embb,TcpSwift,500.0,7.0,3,49153/5000,427.34,0.8547,8.0926,0.0381,0.0122,0.9996,comparison/nr_5g_embb_TcpSwift.flowmonitor
tcp_only,oversub_2to1_25g,TcpBbr,12500.0,0.009,3,49153/5000,10893.89,0.8715,0.0461,0.0004,0.0214,0.9982,comparison/oversub_2to1_25g_TcpBbr.flowmonitor
tcp_only,oversub_2to1_25g,TcpCubic,12500.0,0.009,3,49153/5000,10936.72,0.8749,0.048,0.0004,0.0218,0.9992,comparison/oversub_2to1_25g_TcpCubic.flowmonitor
tcp_only,oversub_2to1_25g,TcpNewReno,12500.0,0.009,3,49153/5000,10608.12,0.8486,0.0458,0.0006,0.012,0.9979,comparison/oversub_2to1_25g_TcpNewReno.flowmonitor
tcp_only,oversub_2to1_25g,TcpSwift,12500.0,0.009,3,49153/5000,11369.84,0.9096,0.0458,0.0003,0.0219,0.9991,comparison/oversub_2to1_25g_TcpSwift.flowmonitor
tcp_only,oversub_2to1_50g,TcpBbr,25000.0,0.009,3,49153/5000,20872.82,0.8349,0.0247,0.0003,0.0112,0.9999,comparison/oversub_2to1_50g_TcpBbr.flowmonitor
tcp_only,oversub_2to1_50g,TcpCubic,25000.0,0.009,3,49153/5000,21605.03,0.8642,0.0264,0.0001,0.0159,0.9999,comparison/oversub_2to1_50g_TcpCubic.flowmonitor
tcp_only,oversub_2to1_50g,TcpNewReno,25000.0,0.009,3,49153/5000,20575.41,0.823,0.0254,0.0003,0.0078,0.9993,comparison/oversub_2to1_50g_TcpNewReno.flowmonitor
tcp_only,oversub_2to1_50g,TcpSwift,25000.0,0.009,3,49153/5000,22439.2,0.8976,0.0253,0.0002,0.0098,0.9993,comparison/oversub_2to1_50g_TcpSwift.flowmonitor
tcp_only,oversub_4to1_10g,TcpBbr,2500.0,0.009,3,49153/5000,2054.67,0.8219,0.1661,0.0006,0.0092,0.9997,comparison/oversub_4to1_10g_TcpBbr.flowmonitor
tcp_only,oversub_4to1_10g,TcpCubic,2500.0,0.009,3,49153/5000,2174.82,0.8699,0.195,0.0009,0.0201,0.9997,comparison/oversub_4to1_10g_TcpCubic.flowmonitor
tcp_only,oversub_4to1_10g,TcpNewReno,2500.0,0.009,3,49153/5000,2002.08,0.8008,0.1517,0.0008,0.0069,0.9994,comparison/oversub_4to1_10g_TcpNewReno.flowmonitor
tcp_only,oversub_4to1_10g,TcpSwift,2500.0,0.009,3,49153/5000,2240.01,0.896,0.1668,0.0007,0.0079,0.9994,comparison/oversub_4to1_10g_TcpSwift.flowmonitor
tcp_only,oversub_4to1_40g,TcpBbr,10000.0,0.009,3,49153/5000,7935.08,0.7935,0.0435,0.0003,0.0071,0.9995,comparison/oversub_4to1_40g_TcpBbr.flowmonitor
tcp_only,oversub_4to1_40g,TcpCubic,10000.0,0.009,3,49153/5000,8286.22,0.8286,0.0497,0.0006,0.0122,0.9993,comparison/oversub_4to1_40g_TcpCubic.flowmonitor
tcp_only,oversub_4to1_40g,TcpNewReno,10000.0,0.009,3,49153/5000,7914.12,0.7914,0.0444,0.0004,0.0065,0.9994,comparison/oversub_4to1_40g_TcpNewReno.flowmonitor
tcp_only,oversub_4to1_40g,TcpSwift,10000.0,0.009,3,49153/5000,8540.35,0.854,0.0436,0.0004,0.0067,0.9983,comparison/oversub_4to1_40g_TcpSwift.flowmonitor
tcp_only,rdma_like_25g,TcpBbr,25000.0,0.002,3,49153/5000,21155.35,0.8462,0.0188,0.0001,0.0165,0.9967,comparison/rdma_like_25g_TcpBbr.flowmonitor
tcp_only,rdma_like_25g,TcpCubic,25000.0,0.002,3,49153/5000,21452.35,0.8581,0.0194,0.0002,0.0202,0.9983,comparison/rdma_like_25g_TcpCubic.flowmonitor
tcp_only,rdma_like_25g,TcpNewReno,25000.0,0.002,3,49153/5000,20701.31,0.8281,0.0183,0.0001,0.0103,0.9995,comparison/rdma_like_25g_TcpNewReno.flowmonitor
tcp_only,rdma_like_25g,TcpSwift,25000.0,0.002,3,49153/5000,22173.01,0.8869,0.0185,0.0001,0.0155,0.9997,comparison/rdma_like_25g_TcpSwift.flowmonitor
tcp_only,rdma_like_50g,TcpBbr,50000.0,0.002,3,49153/5000,42060.34,0.8412,0.0098,0.0001,0.0156,0.9992,comparison/rdma_like_50g_TcpBbr.flowmonitor
tcp_only,rdma_like_50g,TcpCubic,50000.0,0.002,3,49153/5000,43586.04,0.8717,0.0111,0.0,0.0223,1.0,comparison/rdma_like_50g_TcpCubic.flowmonitor
tcp_only,rdma_like_50g,TcpNewReno,50000.0,0.002,3,49153/5000,41206.87,0.8241,0.01,0.0001,0.0107,0.9982,comparison/rdma_like_50g_TcpNewReno.flowmonitor
tcp_only,rdma_like_50g,TcpSwift,50000.0,0.002,3,49153/5000,45311.87,0.9062,0.0099,0.0001,0.0141,0.9996,comparison/rdma_like_50g_TcpSwift.flowmonitor
tcp_only,satellite_geo,TcpBbr,10.0,320.0,3,49153/5000,8.24,0.8236,367.2213,4.2793,0.0216,0.9994,comparison/satellite_geo_TcpBbr.flowmonitor
tcp_only,satellite_geo,TcpCubic,10.0,320.0,3,49153/5000,8.39,0.839,378.9036,5.2887,0.0212,0.9903,comparison/satellite_geo_TcpCubic.flowmonitor
tcp_only,satellite_geo,TcpNewReno,10.0,320.0,3,49153/5000,8.13,0.8128,378.8589,4.272,0.0218,0.9987,comparison/satellite_geo_TcpNewReno.flowmonitor
tcp_only,satellite_geo,TcpSwift,10.0,320.0,3,49153/5000,8.74,0.8741,381.29,3.9248,0.0203,0.9968,comparison/satellite_geo_TcpSwift.flowmonitor
tcp_only,satellite_leo,TcpBbr,150.0,29.0,3,49153/5000,128.15,0.8543,32.0393,0.142,0.0259,0.9992,comparison/satellite_leo_TcpBbr.flowmonitor
tcp_only,satellite_leo,TcpCubic,150.0,29.0,3,49153/5000,127.53,0.8502,33.0177,0.1262,0.0153,0.993,comparison/satellite_leo_TcpCubic.flowmonitor
tcp_only,satellite_leo,TcpNewReno,150.0,29.0,3,49153/5000,126.83,0.8456,33.4088,0.1929,0.0224,0.9947,comparison/satellite_leo_TcpNewReno.flowmonitor
tcp_only,satellite_leo,TcpSwift,150.0,29.0,3,49153/5000,134.26,0.895,33.2849,0.1332,0.0225,0.9978,comparison/satellite_leo_TcpSwift.flowmonitor
tcp_only,symmetric_low,TcpBbr,1000.0,0.03,3,49153/5000,882.1,0.8821,0.4958,0.006,0.0209,0.9997,comparison/symmetric_low_TcpBbr.flowmonitor
tcp_only,symmetric_low,TcpCubic,1000.0,0.03,3,49153/5000,882.15,0.8821,0.5029,0.0021,0.0225,0.9994,comparison/symmetric_low_TcpCubic.flowmonitor
tcp_only,symmetric_low,TcpNewReno,1000.0,0.03,3,49153/5000,882.0,0.882,0.5385,0.0019,0.0202,0.9957,comparison/symmetric_low_TcpNewReno.flowmonitor
tcp_only,symmetric_low,TcpSwift,1000.0,0.03,3,49153/5000,900.43,0.9004,0.5031,0.002,0.0209,0.9996,comparison/symmetric_low_TcpSwift.flowmonitor
tcp_only,wan_longhaul,TcpBbr,1000.0,26.0,3,49153/5000,824.94,0.8249,26.3964,0.235,0.0121,0.9998,comparison/wan_longhaul_TcpBbr.flowmonitor
tcp_only,wan_longhaul,TcpCubic,1000.0,26.0,3,49153/5000,840.4,0.8404,26.6058,0.1847,0.021,0.9965,comparison/wan_longhaul_TcpCubic.flowmonitor
tcp_only,wan_longhaul,TcpNewReno,1000.0,26.0,3,49153/5000,826.17,0.8262,27.2659,0.1142,0.017,0.999,comparison/wan_longhaul_TcpNewReno.flowmonitor
tcp_only,wan_longhaul,TcpSwift,1000.0,26.0,3,49153/5000,876.66,0.8767,26.1603,0.1753,0.0159,0.9977,comparison/wan_longhaul_TcpSwift.flowmonitor
tcp_only,wan_metro,TcpBbr,1000.0,2.2,3,49153/5000,859.21,0.8592,2.6598,0.0271,0.0237,0.9989,comparison/wan_metro_TcpBbr.flowmonitor
tcp_only,wan_metro,TcpCubic,1000.0,2.2,3,49153/5000,856.07,0.8561,2.7151,0.0251,0.0227,0.9995,comparison/wan_metro_TcpCubic.flowmonitor
tcp_only,wan_metro,TcpNewReno,1000.0,2.2,3,49153/5000,840.07,0.8401,2.7965,0.0163,0.0115,0.9995,comparison/wan_metro_TcpNewReno.flowmonitor
tcp_only,wan_metro,TcpSwift,1000.0,2.2,3,49153/5000,904.84,0.9048,2.6549,0.0246,0.0205,1.0,comparison/wan_metro_TcpSwift.flowmonitor
tcp_only,wifi_ac,TcpBbr,400.0,7.0,3,49153/5000,323.93,0.8098,7.7681,0.0999,0.0168,0.9918,comparison/wifi_ac_TcpBbr.flowmonitor
tcp_only,wifi_ac,TcpCubic,400.0,7.0,3,49153/5000,330.35,0.8259,8.0509,0.0311,0.0142,0.999,comparison/wifi_ac_TcpCubic.flowmonitor
tcp_only,wifi_ac,TcpNewReno,400.0,7.0,3,49153/5000,323.56,0.8089,8.1044,0.0632,0.0143,0.9986,comparison/wifi_ac_TcpNewReno.flowmonitor
tcp_only,wifi_ac,TcpSwift,400.0,7.0,3,49153/5000,338.73,0.8468,8.0957,0.0599,0.0143,0.9967,comparison/wifi_ac_TcpSwift.flowmonitor
tcp_only,wifi_ax,TcpBbr,600.0,5.0,3,49153/5000,495.16,0.8253,5.743,0.035,0.018,0.9996,comparison/wifi_ax_TcpBbr.flowmonitor
tcp_only,wifi_ax,TcpCubic,600.0,5.0,3,49153/5000,505.81,0.843,5.9325,0.0291,0.0135,0.9988,comparison/wifi_ax_TcpCubic.flowmonitor
tcp_only,wifi_ax,TcpNewReno,600.0,5.0,3,49153/5000,492.21,0.8203,5.81,0.0294,0.0126,0.9985,comparison/wifi_ax_TcpNewReno.flowmonitor
tcp_only,wifi_ax,TcpSwift,600.0,5.0,3,49153/5000,519.97,0.8666,5.8703,0.028,0.0116,0.9997,comparison/wifi_ax_TcpSwift.flowmonitor
tcp_only,wifi_legacy,TcpBbr,10.0,30.0,3,49153/5000,7.57,0.7575,64.5116,0.4103,0.0,0.996,comparison/wifi_legacy_TcpBbr.flowmonitor
tcp_only,wifi_legacy,TcpCubic,10.0,30.0,3,49153/5000,8.2,0.8203,79.9873,1.0746,0.0216,0.9963,comparison/wifi_legacy_TcpCubic.flowmonitor
tcp_only,wifi_legacy,TcpNewReno,10.0,30.0,3,49153/5000,7.84,0.7836,72.2514,0.658,0.0227,0.9949,comparison/wifi_legacy_TcpNewReno.flowmonitor
tcp_only,wifi_legacy,TcpSwift,10.0,30.0,3,49153/5000,8.54,0.8537,71.2199,0.5924,0.0208,0.998,comparison/wifi_legacy_TcpSwift.flowmonitor
tcp_only,wifi_n,TcpBbr,50.0,14.0,3,49153/5000,40.63,0.8125,21.9797,0.2144,0.0131,0.9995,comparison/wifi_n_TcpBbr.flowmonitor
tcp_only,wifi_n,TcpCubic,50.0,14.0,3,49153/5000,41.08,0.8216,23.2653,0.2328,0.013,0.9973,comparison/wifi_n_TcpCubic.flowmonitor
tcp_only,wifi_n,TcpNewReno,50.0,14.0,3,49153/5000,39.82,0.7964,23.0975,0.2616,0.0089,0.9959,comparison/wifi_n_TcpNewReno.flowmonitor
tcp_only,wifi_n,TcpSwift,50.0,14.0,3,49153/5000,42.44,0.8488,22.2665,0.2227,0.0126,0.9986,comparison/wifi_n_TcpSwift.flowmonitor
udp_burst,asymmetric_high,TcpBbr,1000.0,0.012,3,49153/5000,593.51,0.5935,0.5627,0.007,0.042,0.9997,comparison-udp/asymmetric_high_TcpBbr.flowmonitor
udp_burst,asymmetric_high,TcpCubic,1000.0,0.012,3,49153/5000,595.2,0.5952,0.5669,0.0069,0.0431,0.9959,comparison-udp/asymmetric_high_TcpCubic.flowmonitor
udp_burst,asymmetric_high,TcpNewReno,1000.0,0.012,3,49153/5000,570.75,0.5708,0.5041,0.0028,0.0321,0.9986,comparison-udp/asymmetric_high_TcpNewReno.flowmonitor
udp_burst,asymmetric_high,TcpSwift,1000.0,0.012,3,49153/5000,629.17,0.6292,0.5562,0.0067,0.0435,0.9996,comparison-udp/asymmetric_high_TcpSwift.flowmonitor
